start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time
1751908945.9670892,batch_0_mns128_max-toks512_n128,21.349618673324585,5838.988000000827,17280,65536,1.1068506240844727,21.34885311126709
1751908976.575477,batch_0_mns64_max-toks512_n128,28.054344654083252,7639.095000000671,17280,65536,0.7495203018188477,28.053834915161133
1751909013.7500339,batch_0_mns32_max-toks512_n128,40.13659691810608,11176.375,17280,65536,0.47632336616516113,40.13604784011841
1751909062.6459625,batch_0_mns16_max-toks512_n128,63.92433524131775,17981.62200000044,17280,65536,0.33106184005737305,63.92377519607544
1751909135.3229845,batch_0_mns8_max-toks512_n128,110.45785665512085,31494.492999999784,17280,65536,0.26499009132385254,110.4572377204895
1751909254.4742324,batch_0_mns1_max-toks512_n128,774.7099523544312,227687.6110000005,17280,65536,0.20427250862121582,774.7092490196228
1751910039.771473,batch_0_mns128_max-toks256_n128,11.54336428642273,2904.4910000003874,17280,32768,1.2479808330535889,11.542649269104004
1751910060.0717947,batch_0_mns64_max-toks256_n128,14.108646392822266,3699.6059999996796,17280,32768,0.7475266456604004,14.108256101608276
1751910084.824923,batch_0_mns32_max-toks256_n128,22.521633625030518,5657.286000000313,17280,32768,0.4693574905395508,22.521149396896362
1751910118.2189515,batch_0_mns16_max-toks256_n128,31.926358222961426,8781.070000000298,17280,32768,0.3385024070739746,31.925830841064453
1751910159.4164665,batch_0_mns8_max-toks256_n128,55.356717348098755,15358.07899999991,17280,32768,0.2660505771636963,55.356184244155884
1751910223.5252235,batch_0_mns1_max-toks256_n128,385.9575922489166,112920.92199999932,17280,32768,0.20880341529846191,385.9569697380066
1751910618.6077774,batch_0_mns128_max-toks128_n128,6.097679853439331,1550.8240000000224,17280,16384,1.2532007694244385,6.096883773803711
1751910633.4269972,batch_0_mns64_max-toks128_n128,8.129721879959106,2005.5299999993294,17280,16384,0.750293493270874,8.129274129867554
1751910650.3586218,batch_0_mns32_max-toks128_n128,11.79422116279602,2869.482000000775,17280,16384,0.4585723876953125,11.79369568824768
1751910671.406911,batch_0_mns16_max-toks128_n128,16.580081701278687,4345.834999999963,17280,16384,0.314014196395874,16.579552173614502
1751910696.75216,batch_0_mns8_max-toks128_n128,28.667749643325806,7556.94800000079,17280,16384,0.2659573554992676,28.66723656654358
1751910734.1752012,batch_0_mns1_max-toks128_n128,193.8637101650238,54951.26199999917,17280,16384,0.20289850234985352,193.86305904388428
