model,task,scheduler,start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time,mns,max_tokens,n_samples,energy_per_token,time_per_token_ms,token_per_second,decode_token_per_second,decode_timer_per_token_ms,PD_ratio
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784164.1363473,batch_0_mns256_max-toks512_n128,84.47453165054321,24799.391999989748,17024,65536,5.000626802444458,84.47386574745178,256,512,128,0.37840869140609357,1.2889688987343106,775.8077934200487,797.909408554095,1.2532751077745992,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784272.060182,batch_0_mns128_max-toks512_n128,89.66183423995972,25880.552999973297,17024,65536,5.065669298171997,89.66122460365295,128,512,128,0.3949058990474441,1.3681217133125756,730.9241502310521,773.1792575350021,1.2933611323047292,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784384.7898476,batch_0_mns64_max-toks512_n128,91.1598379611969,26677.27799999714,17024,65536,2.689645528793335,91.15863418579102,64,512,128,0.4070629577636282,1.3909703702665865,718.9130813055641,762.5038818357917,1.3114687332376809,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784498.7136405,batch_0_mns32_max-toks512_n128,119.7023332118988,34913.65199998021,17024,65536,1.403731346130371,119.7016990184784,32,512,128,0.5327400512692293,1.826502975745825,547.4914167628398,573.3148052497357,1.744242414190578,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784641.16047,batch_0_mns16_max-toks512_n128,215.75477004051208,63799.64700001478,17024,65536,0.7460782527923584,215.75413131713867,16,512,128,0.9735053558351865,3.2921467791311443,303.752264609002,311.7841757667936,3.207346869162384,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752784879.8364618,batch_0_mns8_max-toks512_n128,406.8182144165039,121036.75500002503,17024,65536,0.4182133674621582,406.8175981044769,8,512,128,1.8468743133548742,6.207543916389112,161.0940653038305,163.46818036732282,6.117398491577626,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752785309.6074252,batch_0_mns1_max-toks512_n128,3074.193856716156,916968.525000006,17024,65536,0.1305916309356689,3074.193208217621,1,512,128,13.991829299926849,46.90846570156282,21.318109089582705,21.392794081479995,46.74471208348199,3.8496240601503757
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752788407.2572458,batch_0_mns256_max-toks256_n128,36.30173397064209,10583.787999987602,17024,32768,5.11724853515625,36.30069375038147,256,256,128,0.32299157714805915,1.1078092575189658,902.6566066100344,967.3085938797218,1.0337962531575968,1.9248120300751879
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752788466.3595653,batch_0_mns128_max-toks256_n128,36.4145028591156,10599.06099998951,17024,32768,5.081790685653687,36.41351127624512,128,256,128,0.3234576721188205,1.1112521751783788,899.8612483267013,1041.7227790336428,0.9599482896281223,1.9248120300751879
CodeLlama-34b-Instruct-hf,humaneval,single_step,1752788526.4659598,batch_0_mns64_max-toks256_n128,36.58852505683899,10596.31899997592,17024,32768,2.667754411697388,36.587284088134766,64,256,128,0.323373992919187,1.116555300541222,895.5813318272891,1044.3791970731952,0.9575066247991487,1.9248120300751879
