,model,task,start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time,mns,max_tokens,n_samples,energy_per_token,time_per_token_ms,token_per_second
0,CodeLlama-7B-Instruct-AWQ,humaneval,1752573516.274371,batch_0_mns512_max-toks256_n512,102.7643654346466,28647.98600000143,68096,131072,3.8401167392730713,102.76378679275513,512,256,512,0.2185667877197374,0.7840298876544693,1275.4615809247198
1,CodeLlama-7B-Instruct-AWQ,humaneval,1752573643.4612134,batch_0_mns256_max-toks256_n512,90.38203406333923,25187.40099999309,68096,131072,3.849375486373901,90.38152933120728,256,256,512,0.192164619445748,0.6895601964060916,1450.1997145599253
2,CodeLlama-7B-Instruct-AWQ,humaneval,1752573757.548385,batch_0_mns128_max-toks256_n512,78.0658688545227,21442.657000005245,68096,131072,3.85132360458374,78.06506061553955,128,256,512,0.1635944900513095,0.5955953129159752,1678.9923935164966
3,CodeLlama-7B-Instruct-AWQ,humaneval,1752573858.5005996,batch_0_mns64_max-toks256_n512,80.52191615104675,22020.86399999261,68096,131072,2.0738413333892822,80.52121639251709,64,256,512,0.1680058593749436,0.6143334667285671,1627.7804387333388
4,CodeLlama-7B-Instruct-AWQ,humaneval,1752573962.007352,batch_0_mns32_max-toks256_n512,97.6181948184967,25843.405000001192,68096,131072,1.136798858642578,97.61763596534728,32,256,512,0.197169532775888,0.7447677216987358,1342.7005103270403
5,CodeLlama-7B-Instruct-AWQ,humaneval,1752574082.6538754,batch_0_mns16_max-toks256_n512,133.02112102508545,33866.88899999857,68096,131072,0.6652495861053467,133.0205569267273,16,256,512,0.2583838577270398,1.014870613289531,985.3472816191507
6,CodeLlama-7B-Instruct-AWQ,humaneval,1752574238.8720052,batch_0_mns8_max-toks256_n512,228.8745651245117,53320.914999991655,68096,131072,0.418262243270874,228.87395119667053,8,256,512,0.4068062973021824,1.7461743555031717,572.6804982838289
7,CodeLlama-7B-Instruct-AWQ,humaneval,1752574490.89309,batch_0_mns1_max-toks256_n512,1654.354418516159,334742.69099998474,68096,131072,0.2090754508972168,1654.3535995483398,1,256,512,2.553884056091192,12.621722553376458,79.22848848650126
8,CodeLlama-7B-Instruct-GPTQ,humaneval,1752573605.4392197,batch_0_mns512_max-toks256_n512,103.06055450439452,28682.1780000031,68096,131072,3.818951368331909,103.05958914756776,512,256,512,0.2188276519775627,0.7862896309234201,1271.79599052527
9,CodeLlama-7B-Instruct-GPTQ,humaneval,1752573733.0397863,batch_0_mns256_max-toks256_n512,90.16994094848631,25174.14300000668,68096,131072,3.826545000076294,90.16932439804076,256,256,512,0.1920634689331564,0.6879420543555169,1453.6108000212714
10,CodeLlama-7B-Instruct-GPTQ,humaneval,1752573846.4053836,batch_0_mns128_max-toks256_n512,76.82354235649109,21277.115999996666,68096,131072,3.828680276870728,76.82278656959534,128,256,512,0.1623315124511464,0.5861171139258659,1706.1436635110497
11,CodeLlama-7B-Instruct-GPTQ,humaneval,1752573946.1039095,batch_0_mns64_max-toks256_n512,79.8636863231659,22090.722999989983,68096,131072,2.064478635787964,79.86312079429626,64,256,512,0.1685388412474821,0.6093115716794273,1641.1964690638156
12,CodeLlama-7B-Instruct-GPTQ,humaneval,1752574048.890581,batch_0_mns32_max-toks256_n512,97.16865253448486,25677.113000005484,68096,131072,1.1260614395141602,97.16775965690611,32,256,512,0.1959008255005301,0.7413379862555303,1348.912396963444
