1751030886.3552043,73.913
1751030886.4552789,73.913
1751030886.55541,74.053
1751030886.655539,74.011
1751030886.7556658,74.128
1751030886.8557963,74.038
1751030886.9559238,73.983
1751030887.055992,73.838
1751030887.156054,73.845
1751030887.2561173,74.204
1751030887.3561788,74.285
1751030887.456239,73.467
1751030887.5562992,73.92
1751030887.656359,73.775
1751030887.756418,73.845
1751030887.856477,74.038
1751030887.956536,73.527
1751030888.0565948,73.962
1751030888.1566527,73.838
1751030888.2567117,73.984
1751030888.356771,73.354
1751030888.4568298,73.391
1751030888.5568888,73.467
1751030888.6569483,73.646
1751030888.7570088,73.432
1751030888.85707,73.418
1751030888.9571302,73.445
1751030889.05719,73.226
1751030889.1572495,75.967
1751030889.2573113,75.967
1751030889.3573718,74.441
1751030889.4574313,74.292
1751030889.5574906,73.961
1751030889.6575499,74.011
1751030889.757609,74.205
1751030889.8576682,74.113
1751030889.957727,74.079
1751030890.0577838,73.768
1751030890.1578429,74.031
1751030890.2579026,73.991
1751030890.3579626,74.033
1751030890.458023,74.141
1751030890.558083,73.852
1751030890.658144,73.549
1751030890.758204,73.915
1751030890.8582642,73.887
1751030890.9583244,73.323
1751030891.0583844,73.41
1751030891.158444,73.5
1751030891.258507,73.507
1751030891.3585706,73.624
1751030891.458634,73.382
1751030891.5586996,73.596
1751030891.6587667,73.335
1751030891.7588346,73.301
1751030891.8589022,73.383
1751030891.9589674,73.023
1751030892.059035,73.591
1751030892.1591008,72.681
1751030892.2591665,73.218
1751030892.359234,73.005
1751030892.4592998,72.86
1751030892.559365,73.485
1751030892.659433,73.301
1751030892.7594986,73.721
1751030892.859565,72.928
1751030892.9596314,73.293
1751030893.0596914,387.997
1751030893.1597476,308.079
1751030893.2598016,289.318
1751030893.3598557,295.512
1751030893.4599097,307.876
1751030893.5599635,297.155
1751030893.6600175,304.183
1751030893.7600427,308.561
1751030893.8600962,288.931
1751030893.960151,291.847
1751030894.060207,307.874
1751030894.1602616,306.993
